Wall time,Step,Value
1516992282.1869361,27825,0.9375
1516992358.3659449,27916,0.95703125
1516992792.869144,28438,0.95703125
1516992881.011139,28543,0.9453125
1516993238.0788066,28970,0.9453125
1516993259.700393,28996,0.94921875
1516993314.510575,29062,0.94921875
1516993429.7451296,29201,0.9609375
1516993481.4653678,29263,0.96875
1516993655.2524693,29471,0.96484375
1516993668.5389004,29487,0.95703125
1516993772.4761279,29611,0.9609375
1516993954.61204,29829,0.95703125
1516997573.9730186,30005,0.96875
1516997595.4115388,30031,0.984375
1516997713.5502532,30174,0.98046875
1516997840.834013,30327,0.94140625
1516997959.6453078,30470,0.9609375
1516998077.7733352,30612,0.97265625
1516998155.451338,30706,0.96484375
1516998167.2659674,30720,0.96484375
1516998737.8919237,31406,0.96875
1516998768.0839612,31443,0.9609375
1516998978.3914382,31696,0.97265625
1516999131.273014,31880,0.98046875
1516999177.8720064,31936,0.97265625
1516999235.3840952,32004,0.96875
1516999403.6482599,32207,0.953125
1516999593.435535,32435,0.984375
1516999683.1449835,32542,0.9765625
1516999778.9376495,32657,0.9765625
1516999865.7090337,32762,0.9765625
1516999975.35341,32894,0.98046875
1516999982.0010016,32902,0.96875
1517000092.0810711,33034,0.9765625
1517000215.275227,33181,0.94921875
1517000290.6523635,33271,0.96875
1517000349.2975726,33341,0.96484375
1517000377.7167234,33375,0.97265625
1517000400.9136055,33403,0.96484375
1517000680.4864273,33737,0.98828125
1517000690.5326028,33749,0.97265625
1517000706.5477853,33768,0.9765625
1517000720.6475117,33785,0.9609375
1517000765.9758756,33839,0.9609375
1517000796.7089136,33876,0.9609375
1517000827.8368313,33913,0.98046875
1517000931.6398053,34036,0.9609375
1517001019.6840336,34141,0.9609375
1517001206.0390074,34362,0.9765625
1517001223.6029108,34383,0.96875
1517001343.2389786,34525,0.96484375
1517001405.0777545,34599,0.9765625
1517001559.3018036,34783,0.95703125
1517002016.9043076,35333,0.9609375
1517002034.324977,35354,0.96484375
1517002053.3066163,35377,0.984375
1517002141.3883157,35483,0.98828125
1517002216.5315645,35573,0.97265625
1517002381.788481,35771,0.95703125
1517002446.3119645,35849,0.95703125
1517002532.7353883,35953,0.95703125
1517002546.625601,35970,0.9765625
1517002602.58503,36037,0.97265625
1517002776.2675714,36246,0.9921875
1517002800.4969356,36275,0.97265625
1517003094.9601524,36629,0.97265625
1517003120.095054,36659,0.96875
1517003210.1014104,36767,0.9765625
1517003278.6925282,36850,0.984375
1517003326.0750225,36907,0.984375
1517003571.271853,37202,0.97265625
1517003781.7011986,37455,0.984375
1517003809.9297218,37489,0.95703125
1517004038.1021607,37764,0.9765625
1517004131.0481517,37876,0.9765625
1517004392.7129896,38192,0.97265625
1517004597.8068032,38439,0.98828125
1517004611.4049952,38455,0.98828125
1517004830.862891,38720,0.9765625
1517004929.9287412,38840,0.97265625
1517005047.373351,38981,0.984375
1517005309.2078924,39296,0.98046875
1517005646.604169,39702,0.984375
1517005669.885336,39730,0.984375
1517005711.8995993,39781,0.96484375
