Wall time,Step,Value
1517084509.390026,53717,0.92578125
1517084512.978118,53721,0.94921875
1517084630.7497923,53862,0.94921875
1517084668.0804174,53906,0.95703125
1517084807.8342004,54072,0.9609375
1517084851.1839933,54123,0.9375
1517084951.4955318,54241,0.9453125
1517085334.2801175,54691,0.953125
1517085432.6022522,54807,0.96875
1517085542.9668496,54937,0.9453125
1517085581.3274481,54982,0.97265625
1517085758.5852757,55193,0.95703125
1517085847.825942,55299,0.9453125
1517086054.5300457,55543,0.92578125
1517086061.4442515,55551,0.92578125
1517086199.2361796,55713,0.953125
1517086244.9021783,55766,0.96484375
1517086726.0055997,56337,0.94140625
1517086869.3954577,56507,0.94140625
1517086881.217819,56521,0.94140625
1517086954.1517015,56608,0.9453125
1517087103.755073,56787,0.9453125
1517087131.3359206,56820,0.96875
1517087282.1993349,56999,0.95703125
1517087537.3245013,57299,0.953125
1517087542.5912437,57305,0.953125
1517087694.0288825,57484,0.96484375
1517087929.1051955,57760,0.93359375
1517088382.710194,58295,0.953125
1517088505.8004024,58440,0.9609375
1517088604.3764353,58556,0.953125
1517088676.2723827,58641,0.96875
1517088741.3278933,58719,0.95703125
1517088764.1798174,58746,0.94921875
1517088778.6673472,58763,0.96484375
1517089204.5978806,59264,0.9375
1517089244.720606,59311,0.953125
1517089347.9602811,59432,0.9453125
1517089524.8893433,59640,0.9375
1517089550.1635985,59670,0.96875
1517092604.7813005,60179,0.94921875
1517092609.7661717,60185,0.96484375
1517092627.9852002,60207,0.9453125
1517092702.855696,60297,0.9453125
1517092851.7573626,60475,0.93359375
1517093467.254029,61205,0.96484375
1517093527.116991,61276,0.953125
1517093665.3453503,61438,0.94140625
1517093747.110146,61534,0.9609375
1517093870.6664705,61680,0.94921875
1517094261.3575442,62139,0.9609375
1517094329.4930282,62219,0.953125
1517094580.179221,62516,0.9453125
1517094606.5306306,62547,0.9453125
1517094885.1035988,62874,0.96875
1517095013.0776026,63024,0.9609375
1517095180.9070504,63220,0.953125
1517095357.7787929,63429,0.94140625
1517095429.2315137,63513,0.9296875
1517095563.2538192,63671,0.98828125
1517095729.0581849,63865,0.9453125
1517095833.2330601,63988,0.9765625
1517095927.1907656,64098,0.96875
1517096035.298173,64225,0.95703125
1517096277.184111,64511,0.953125
1517096285.3673685,64521,0.94921875
1517096425.6803467,64687,0.9609375
1517096597.631942,64889,0.97265625
1517096899.4788637,65245,0.96484375
1517096939.4132473,65292,0.95703125
1517097073.6622407,65450,0.9375
1517097099.7263222,65481,0.9609375
1517097201.7580433,65601,0.96875
1517097237.8981054,65643,0.9609375
1517097294.0246546,65709,0.95703125
1517097462.7521205,65907,0.953125
1517097583.952807,66049,0.94140625
1517097794.8015497,66298,0.953125
1517098210.1396263,66787,0.93359375
1517098347.035324,66948,0.953125
